rank,title,description,date
54,全世代の約8割、家は「買う派」,"カーディフ生命保険（株）はこのたび、全国の男女2,156人（男性1,091名、女性1,065名）を対象に、「生活価値観・住まいに関する意識調査」を行った。",2020年1月10日 (金)
55,新築小規模一戸建て価格、首都圏は反転下落,（株）東京カンテイは1月9日、2019年12月度「新築小規模木造一戸建て住宅平均価格」を発表した。調査対象は敷地面積50m2以上～100m2未満、木造で土地・建物ともに所有権。,2020年1月10日 (金)
56,都内の住宅着工戸数、3か月連続減少,東京都は1月9日、「令和元年11月の新設住宅着工」を発表した。,2020年1月10日 (金)
57,子育てのIT活用はどこまで進んだ？ 保育園専用や育児用アプリの現状と課題,スマートフォンの普及に伴い、便利さや効率の良さを求めて、パパ・ママたちの「子育てのIT活用」が進みつつあります。保育園では私立を中心に「保育園アプリ」を導入するところも増えてきま...,2020年1月9日 (木)
58,賃貸住宅の建物や入居者の管理は誰がする？入居者、家主、管理業者とのトラブ…,賃貸住宅に住んでいる場合、家賃の支払い状況を確認したり、設備機器の故障に対応したりと、入居者や建物を管理する存在が必要だ。ところが、「誰が管理しているか分からない」という入居者...,2020年1月8日 (水)
59,働く主婦層の約半数が「夫の家事育児に不満」,（株）ビースタイル（東京都新宿区）の調査機関・しゅふJOB総研は、働く主婦層を対象に「夫の家事・育児」に関するアンケート調査を行った。有効回答数は644件。,2020年1月7日 (火)
60,保育園に入りにくい駅、「葛西」が2年連続トップ,スタイルアクト（株）はこのほど、「保育園に入りにくい駅ランキング（2020年度入園版）」を発表した。,2020年1月7日 (火)
61,【フラット35】金利、3ヵ月連続上昇,（独）住宅金融支援機構は6日、2020年1月の住宅ローン【フラット35】の金利を発表した。,2020年1月7日 (火)
62,【シングル編】山手線で中古マンションの価格相場が安い駅ランキング 202…,東京都内を走るさまざまな路線のなかでも、要と言えるJR山手線。およそ50年ぶりとなる新駅「高輪ゲートウェイ駅」開業を2020年春に控え、注目度が高まっている。都内の主要駅を多く抱えるだ...,2020年1月7日 (火)
63,山手線29駅、家賃相場が安い駅ランキング！ 2020年版,新しい年を迎え、今年の目標に新しい家探しや引越しを掲げる人もいるだろう。2020年は東京でオリンピックが開催予定であり、「東京に住む」ということを意識するタイミング。そこで東京の交...,2020年1月6日 (月)
64,テレワークが変えた暮らし[5] 近所のシェアオフィス活用で、子育てと仕事…,テレワーク（リモートワーク）を導入する企業が増加するのに比例して、シェアオフィスの開業も相次いでいる。シェアオフィスは駅中や駅近にあるイメージが強いが、テレワークをする日は駅を...,2020年1月3日 (金)
65,「老後の不安を感じる」、8年で最も高い割合に,セコム（株）は、20代以上の男女を対象に「老後の不安に関する意識調査」を行った。調査は2019年10月25日～27日にインターネットで実施。全国の男女500名（20-29歳、30-39歳、40-49歳、50-59...,2019年12月27日 (金)
66,JR「苗穂駅」に高層ツインタワー,大和ハウス工業（株）が建設中の分譲マンション「プレミストタワーズ札幌苗穂」（北海道札幌市）の概要が発表された。,2019年12月27日 (金)
67,JR宇都宮駅前に商業施設、2月1日オープン,（株）日本エスコンは、JR宇都宮駅前の商業施設「ララスクエア宇都宮」（栃木県宇都宮市）を2020年1月31日付で取得し、同年2月1日より「tonarie 宇都宮」に名称を変更してオープンする。,2019年12月27日 (金)
68,住宅着工数、5か月連続減少,"国土交通省は12月26日、2019年11月の住宅着工統計を発表した。それによると、11月の住宅着工戸数は前年同月比12.7%減の7万3,523戸、5か月連続の減少となった。",2019年12月27日 (金)
69,中古マンション価格、下落地域数は減少,（株）東京カンテイはこのたび、2019年11月度「中古マンション価格天気図」を発表した。これは全国47都道府県のファミリータイプ中古マンション流通事例価格を月ごとに集計し、価格変動を「...,2019年12月27日 (金)
70,不動産価格指数、住宅総合は58ヶ月連続上昇,国土交通省はこのほど、2019年9月の「不動産価格指数（住宅）」を公表した。指数は2010年の平均を100としている。,2019年12月27日 (金)
71,テレワークが変えた暮らし[4]愛犬のために伊豆高原へ移住。40代で仕事を…,伊豆高原への移住とともに、新幹線通勤&週に1～2度のテレワークを同時に始めたOさん(45歳)。 職場を変えずに、住まいを変えることは、案外できること。暮らしは確実に豊かになったと実感す...,2019年12月27日 (金)
72,テレワークが変えた暮らし[3]引越し先の「共用部」がもう一つの仕事場に。…,昨今、オフィス以外の場所で仕事をするテレワーク（リモートワーク）を導入する企業が増えていますが、テレワークしやすい「住まい」も登場し、支持を集めています。今回はワーキングラウン...,2019年12月26日 (木)
73,賃貸住宅の訳あり物件・事故物件については、どこまで知らされる？,日管協（日本賃貸住宅管理協会）総合研究所では、年に2回、賃貸住宅景況感調査を実施している。今回の調査では、「心理的瑕疵物件における重要事項説明」に関する質問項目を新たに追加した。...,2019年12月25日 (水)
74,中古マンション価格、東京都は引き続き弱含み,（株）東京カンテイは12月23日、2019年11月度・中古マンション70m2価格月別推移を発表した。,2019年12月24日 (火)
75,金沢駅西口の複合施設、名称は「クロスゲート金沢」に,オリックス（株）はこのたび、金沢駅西口複合開発プロジェクトの施設名称を「クロスゲート金沢（CROSS GATE KANAZAWA）」に決定した。開業は2020年6月の予定。,2019年12月24日 (火)
76,暮らしやすさ自慢、「福岡県」がトップに返り咲き,ソニー生命保険（株）は、今年で5回目となる「47都道府県別 生活意識調査」を実施し、その結果を発表した。調査は2019年11月5日～11月19日、全国の20歳～59歳の男女を対象にインターネットで...,2019年12月24日 (火)
77,2020年の首都圏マンション供給、前年比2.2%増と予測,（株）不動産経済研究所はこのほど、2020年「首都圏・近畿圏マンション市場予測」を発表した。,2019年12月24日 (火)
78,民間住宅ローン、「変動金利型」が2年連続増加,（独）住宅金融支援機構はこのたび、2019年度「民間住宅ローンの貸出動向調査」を行った。調査は2019年7～9月、民間住宅ローンを取り扱う金融機関に対し行ったもの。有効回答数は301件。,2019年12月24日 (火)
79,「災害対策」「マンション管理の重要性」「住まい選びの多様化」…2019年…,2019年も残りあと数日となりました。今年の不動産界隈ではどのような出来事がおこったのでしょうか。さくら事務所会長の長嶋氏に、5つのキーワードで2019年の不動産市場を振り返っていただき...,2019年12月24日 (火)
80,賃貸入居中のトラブル1位、「設備故障の際、対応に時間がかかった」,国土交通省は12月18日、「賃貸住宅管理業務に関するアンケート」の調査結果を発表した。同調査は、賃貸住宅管理業の適正化につなげるために行ったもの。,2019年12月20日 (金)
81,リビングの暖房機器、設定温度は「20-21度」が最多,"リンナイ（株）はこのたび、全国20～60代の男女計1,000名を対象に「暖房に関する意識調査」を行った。調査は2019年11月30日～12月1日、インターネットで行ったもの。",2019年12月20日 (金)
82,近畿圏新築マンション、契約率は6カ月ぶりに70%割れ,"（株）不動産経済研究所は12月17日、2019年11月度「近畿圏のマンション市場動向」を発表した。それによると、11月の新規発売戸数は1,492戸。対前年同月（2,585戸）比42.3%減、対前月（1,271...",2019年12月20日 (金)
83,「恩送り基金」を創設し次世代へ託す。終活を楽しむ暮らし　あの人のお宅拝見…,今回お宅訪問したのは、元リクルートワークス研究所の名物研究員で筆者の大先輩の角方正幸さん。今年古希（70歳）を迎えた角方さんから『謝縁会』と名付けられた会への招待状が届き、「これ...,2019年12月20日 (金)
84,リトル・コリアだけじゃない！ “ごちゃ混ぜ”多国籍タウン、新大久保の最新…,リトル・コリアとして有名な新大久保。しかし、東京には西葛西の「リトル・インディア」、高田馬場の「リトル・ヤンゴン」、竹ノ塚の「リトル・マニラ」など、「リトル〇〇」と呼ばれる街が...,2019年12月19日 (木)
85,年末大掃除シーズン到来！床拭きの頻度はどの程度？二極化する掃除実態,年末の恒例行事といえば一家総出の「大掃除」か思い浮かぶが、最近では年末に大掃除をしない家庭も増えてきた。しない理由は、年代によって多少異なるようだ。大掃除の実態や二極化している...,2019年12月18日 (水)
86,「リノベーション・オブ・ザ・イヤー2019」、総合グランプリ決定,2019年を代表する魅力的なリノベーション事例を選ぶコンテスト「リノベーション・オブ・ザ・イヤー2019」（主催：一般社団法人リノベーション協議会）の総合グランプリ、部門別最優秀作品賞...,2019年12月17日 (火)
87,防災意識、約9割が「今後の災害増加を懸念」,セコム（株）は20代以上の男女を対象に「防災に関する意識調査」を行い、その結果を発表した。調査は2019年10月25日～27日、インターネットで実施。500名より回答を得た（20-29歳、30-39歳、...,2019年12月17日 (火)
88,11月の分譲マンション賃料、首都圏は僅かに上昇,（株）東京カンテイは12月16日、2019年11月度「三大都市圏・主要都市別／分譲マンション賃料月別推移」を発表した。,2019年12月17日 (火)
89,大阪駅直結の大型複合開発が始動,日本郵便（株）、西日本旅客鉄道（株）、大阪ターミナルビル（株）および（株）JTBは、大阪駅直結の大型複合開発「梅田3丁目計画（仮称）」を始動する。,2019年12月17日 (火)
90,"次世代住宅ポイント、11月の申請は3万2,242戸",国土交通省はこのたび、令和元年11月末時点における「次世代住宅ポイント制度」の実施状況を発表した。,2019年12月17日 (火)
91,東京23区の単身者、約4割が首都圏外から住み替え,（株）長谷工ライブネット（東京都港区）はこのたび、同社が管理運営する賃貸マンションの入居者属性を調査し、その結果を発表した。,2019年12月17日 (火)
92,日本一の「自転車のまち」へ。サイクリストが集う茨城県土浦市の暮らし,日本で二番目に大きな湖である霞ヶ浦。そのすぐほとりに位置する茨城県土浦市では、今日本各地からサイクリストが集まりつつある。官民一体となってのまちづくりが功を奏している証拠だ。一...,2019年12月17日 (火)
93,テレワークが変えた暮らし[2]千葉から石川県金沢市へ。移住先で始めた複業…,近年、テレワーク（リモートワーク）できる企業が増えつつある。ITを活用した場所にとらわれない働き方だが、遠隔で働くことが、自分たちの暮らしにいったいどんな作用をもたらすのだろうか...,2019年12月16日 (月)
94,本当に住みやすい街大賞2020、トップはJR京浜東北線「川口」,アルヒ（株）は12月11日、住宅専門家が厳選した1都3県の本当に住みやすい街TOP10を発表する「ARUHI presents 本当に住みやすい街大賞2020」を開催した。,2019年12月13日 (金)
95,空港直結複合施設「羽田エアポートガーデン」、2020年春開業,住友不動産（株）と羽田エアポート都市開発（株）はこのたび、羽田空港直結複合開発プロジェクトの街区名称を「羽田エアポートガーデン」（東京都大田区）とし、その計画概要を発表した。,2019年12月13日 (金)
96,木組み伝統工法を一般住宅に採用、創建,（株）創建（大阪市中央区）と（株）木の城たいせつ（北海道夕張郡）は、神社仏閣の建築に用いられる木組み工法の伝統技術を取り入れた住宅「千年品質伝統工法の家 Kinoshiro2020『INOCHI』...,2019年12月13日 (金)
